F,G,time
"[-92.68, -2.51, -0.31]","[-0.21, -5.62, 0.93]",1346.2430000000002
"[-92.67, -2.5, -0.31]","[-0.22, -5.62, 0.93]",1356.2479999999998
"[-92.67, -2.49, -0.31]","[-0.22, -5.62, 0.93]",1367.212
"[-92.69, -2.52, -0.29]","[-0.22, -5.62, 0.93]",1377.207
"[-92.7, -2.52, -0.3]","[-0.21, -5.62, 0.93]",1387.213
"[-92.71, -2.52, -0.29]","[-0.22, -5.62, 0.93]",1397.208
"[-92.71, -2.54, -0.3]","[-0.21, -5.62, 0.93]",1406.246
"[-92.69, -2.54, -0.3]","[-0.21, -5.62, 0.93]",1416.243
"[-92.72, -2.51, -0.32]","[-0.22, -5.62, 0.93]",1428.034
"[-92.71, -2.53, -0.31]","[-0.21, -5.62, 0.93]",1437.06
"[-92.68, -2.53, -0.31]","[-0.22, -5.62, 0.93]",1447.0590000000002
"[-92.68, -2.52, -0.31]","[-0.22, -5.62, 0.93]",1457.0669999999998
"[-92.7, -2.53, -0.3]","[-0.21, -5.62, 0.93]",1467.068
"[-92.69, -2.53, -0.3]","[-0.22, -5.61, 0.93]",1479.1490000000001
"[-92.7, -2.51, -0.3]","[-0.21, -5.62, 0.93]",1487.179
"[-92.71, -2.5, -0.31]","[-0.22, -5.61, 0.93]",1497.1760000000002
"[-92.71, -2.5, -0.31]","[-0.22, -5.61, 0.93]",1507.1889999999999
"[-92.73, -2.48, -0.33]","[-0.22, -5.62, 0.93]",1517.05
"[-92.74, -2.56, -0.3]","[-0.22, -5.61, 0.93]",1528.125
"[-92.72, -2.56, -0.32]","[-0.22, -5.62, 0.93]",1537.173
"[-92.67, -2.56, -0.3]","[-0.22, -5.61, 0.93]",1547.188
"[-92.74, -2.51, -0.32]","[-0.22, -5.61, 0.93]",1557.0649999999998
"[-92.73, -2.52, -0.32]","[-0.22, -5.61, 0.93]",1567.165
"[-92.64, -2.5, -0.31]","[-0.22, -5.61, 0.93]",1577.172
"[-92.71, -2.53, -0.32]","[-0.22, -5.61, 0.93]",1587.045
"[-92.71, -2.54, -0.31]","[-0.22, -5.61, 0.93]",1597.1599999999999
"[-92.69, -2.52, -0.32]","[-0.22, -5.61, 0.93]",1607.191
"[-92.76, -2.54, -0.31]","[-0.22, -5.61, 0.93]",1617.027
"[-92.74, -2.54, -0.31]","[-0.22, -5.61, 0.93]",1628.201
"[-92.68, -2.52, -0.3]","[-0.21, -5.61, 0.93]",1637.181
"[-92.7, -2.54, -0.29]","[-0.22, -5.61, 0.93]",1647.023
"[-92.7, -2.51, -0.31]","[-0.22, -5.61, 0.93]",1657.171
"[-92.69, -2.53, -0.32]","[-0.22, -5.61, 0.93]",1667.0259999999998
"[-92.74, -2.54, -0.32]","[-0.22, -5.61, 0.93]",1677.176
"[-92.72, -2.51, -0.33]","[-0.22, -5.61, 0.93]",1687.179
"[-92.73, -2.53, -0.31]","[-0.22, -5.61, 0.93]",1697.1860000000001
"[-92.72, -2.5, -0.31]","[-0.22, -5.61, 0.93]",1707.134
"[-92.73, -2.51, -0.31]","[-0.22, -5.61, 0.93]",1717.155
"[-92.72, -2.53, -0.3]","[-0.22, -5.61, 0.93]",1728.189
"[-92.7, -2.52, -0.31]","[-0.22, -5.61, 0.93]",1737.177
"[-92.74, -2.52, -0.3]","[-0.22, -5.61, 0.93]",1747.175
"[-92.75, -2.51, -0.31]","[-0.22, -5.61, 0.93]",1757.1779999999999
"[-92.7, -2.53, -0.3]","[-0.21, -5.61, 0.93]",1769.029
"[-92.69, -2.55, -0.32]","[-0.22, -5.61, 0.93]",1777.1650000000002
"[-92.72, -2.53, -0.32]","[-0.22, -5.61, 0.93]",1794.177
"[-92.69, -2.55, -0.32]","[-0.22, -5.61, 0.93]",1797.188
"[-92.71, -2.52, -0.33]","[-0.22, -5.61, 0.93]",1807.181
"[-92.71, -2.55, -0.32]","[-0.22, -5.61, 0.93]",1817.179
"[-92.71, -2.53, -0.34]","[-0.22, -5.61, 0.93]",1828.157
"[-92.72, -2.48, -0.34]","[-0.21, -5.61, 0.93]",1837.174
"[-92.68, -2.52, -0.33]","[-0.21, -5.61, 0.93]",1847.173
"[-92.72, -2.54, -0.34]","[-0.22, -5.61, 0.93]",1857.181
"[-92.73, -2.53, -0.33]","[-0.21, -5.61, 0.93]",1867.194
"[-92.73, -2.53, -0.33]","[-0.22, -5.61, 0.93]",1877.176
"[-92.74, -2.55, -0.34]","[-0.21, -5.61, 0.93]",1887.162
"[-92.71, -2.55, -0.33]","[-0.21, -5.61, 0.93]",1897.165
"[-92.73, -2.5, -0.35]","[-0.21, -5.61, 0.93]",1907.177
"[-92.73, -2.55, -0.35]","[-0.21, -5.61, 0.93]",1917.181
"[-92.67, -2.55, -0.34]","[-0.22, -5.61, 0.93]",1928.185
"[-92.73, -2.53, -0.33]","[-0.21, -5.61, 0.93]",1937.1750000000002
"[-92.74, -2.51, -0.33]","[-0.22, -5.61, 0.93]",1947.159
"[-92.7, -2.53, -0.33]","[-0.22, -5.61, 0.93]",1957.1750000000002
