F,G,time
"[-92.75, -2.05, -0.16]","[-0.09, -5.72, 1.02]",1506.195
"[-92.75, -2.09, -0.16]","[-0.09, -5.71, 1.02]",1516.18
"[-92.75, -2.07, -0.17]","[-0.09, -5.71, 1.02]",1526.193
"[-92.77, -2.05, -0.16]","[-0.09, -5.71, 1.02]",1536.19
"[-92.79, -2.07, -0.17]","[-0.1, -5.71, 1.02]",1546.185
"[-92.76, -2.05, -0.17]","[-0.09, -5.71, 1.02]",1556.192
"[-92.79, -2.06, -0.18]","[-0.1, -5.71, 1.02]",1566.189
"[-92.78, -2.07, -0.16]","[-0.1, -5.71, 1.02]",1577.003
"[-92.74, -2.07, -0.17]","[-0.1, -5.71, 1.02]",1586.196
"[-92.76, -2.08, -0.16]","[-0.1, -5.71, 1.02]",1597.0059999999999
"[-92.75, -2.05, -0.16]","[-0.1, -5.71, 1.02]",1606.186
"[-92.76, -2.07, -0.16]","[-0.1, -5.71, 1.02]",1616.184
"[-92.77, -2.08, -0.17]","[-0.1, -5.71, 1.02]",1627.1789999999999
"[-92.79, -2.06, -0.18]","[-0.1, -5.71, 1.02]",1636.1840000000002
"[-92.77, -2.08, -0.17]","[-0.1, -5.71, 1.02]",1646.185
"[-92.77, -2.07, -0.17]","[-0.1, -5.71, 1.02]",1656.1840000000002
"[-92.78, -2.07, -0.17]","[-0.1, -5.7, 1.02]",1666.1840000000002
"[-92.78, -2.05, -0.17]","[-0.1, -5.71, 1.02]",1676.1809999999998
"[-92.79, -2.09, -0.16]","[-0.1, -5.7, 1.02]",1686.19
"[-92.76, -2.07, -0.15]","[-0.1, -5.7, 1.02]",1696.19
"[-92.78, -2.09, -0.15]","[-0.1, -5.71, 1.02]",1706.192
"[-92.77, -2.09, -0.15]","[-0.11, -5.7, 1.02]",1716.1850000000002
"[-92.79, -2.08, -0.16]","[-0.1, -5.71, 1.02]",1727.171
"[-92.79, -2.09, -0.16]","[-0.11, -5.7, 1.01]",1739.023
"[-92.79, -2.09, -0.15]","[-0.11, -5.7, 1.02]",1746.186
